longitude;latitude;exact_loc;year_pub;study_ID;continent_code
-5;41;N;2007;1;EU
-92;48;Y;1971;2;NA
-92;48;Y;1991;3;NA
29;64;N;2009;5;EU
-124;57;N;2017;6;NA
-95;48;Y;1981;8;NA
18;64;Y;2007;9;EU
-153;68;Y;2010;10;NA
-93;47;Y;1989;11;NA
-115;50;N;1999;12;NA
-128;62;Y;2000;13;NA
-133;55;Y;2010;14;NA
-115;50;N;1997;15;NA
-112;46;N;2010;16;NA
-150;60;Y;1984;17;NA
-150;60;N;1987;18;NA
29;64;N;2006;19;EU
-115;52;Y;2011;20;NA
117;50;Y;2020;21;AS
7;44;N;2009;22;EU
-147;64;N;1983;23;NA
-146;62;Y;1983;24;NA
-88;48;N;1988;26;NA
-159;67;N;1997;27;NA
-75;46;N;1988;28;NA
10;45;N;2009;29;EU
13;51;N;2019;30;EU
12;46;Y;2016;31;EU
34;30;N;1999;32;AS
24;53;Y;1999;33;EU
-92;48;N;1975;35;NA
18;64;Y;2001;36;EU
-98;51;N;1983;38;NA
-112;58;N;1980;39;NA
14;42;Y;2018;40;EU
7;44;N;2022;41;EU
10;51;Y;2021;42;EU
11;44;Y;2014;43;EU
16;52;Y;2016;45;EU
30;55;Y;2007;47;EU
-78;45;Y;2010;49;NA
73;35;Y;2013;54;AS
70;32;N;2019;55;AS
16;44;N;2005;56;EU
19;49;Y;2008;57;EU
