study_ID;study_area_size;longitude;latitude
2;6070;-92;48
5;15000;29;64
6;373000;-124;57
8;2700;-95;48
9;1175000;18;64
10;24700;-153;68
11;839;-93;47
12;10000;-115;50
13;23000;-128;62
14;9344;-133;55
16;266400;-112;46
17;26000;-150;60
18;61600;-150;60
19;15000;29;64
20;25000;-115;52
22;4000;7;44
23;17060;-147;64
26;544;-88;48
27;12280;-159;67
28;1667;-75;46
32;600;34;30
33;1250;24;53
36;837000;18;64
39;25000;-112;58
43;19171;11;44
45;136000;16;52
49;7571;-78;45
54;6187;73;35
55;24;70;32
57;745;19;49
