study_ID;authors;year;country;age_class;age;m_or_s;social_class;rate;calc_surv_rate;se_or_ci
12;Boyd & Pletscher;1999;USA & Canada;All;NA;S;Disperser;0.76 +- 0.10;0.76;NA
12;Boyd & Pletscher;1999;USA & Canada;All;NA;S;Territorial;0.77+-0.14;0.77;NA
1;Blanco & Cortés;2007;Spain;NA;NA;M;Overall;0.18 (0.0059-0.285) 95%CI;0.82;CI
1;Blanco & Cortés;2007;Spain;NA;NA;M;Disperser;0.31 (0.000-0.591);0.69;CI
1;Blanco & Cortés;2007;Spain;NA;NA;M;Pack;0.14 (0.003-0.250);0.86;CI
1;Blanco & Cortés;2007;Spain;NA;NA;M;PAIR;0 (0.000-0.000);1;CI
1;Blanco & Cortés;2007;Spain;NA;NA;M;Peripheral;0.50 (0.000-0.805);0.5;CI
13;Hayes & Harestad;2000;Canada;Pups;< 12 months;S;NA;0.63 (0.34-0.89);0.63;CI
13;Hayes & Harestad;2000;Canada;Yearlings;12 -24 months;S;NA;0.81 (0.69-0.92);0.81;CI
13;Hayes & Harestad;2000;Canada;Two-year-olds;24-36 months;S;NA;0.82 (0.72-0.92);0.82;CI
13;Hayes & Harestad;2000;Canada;Three-year-olds;36-48 months;S;NA;0.97 (0.92-1.00);0.97;CI
13;Hayes & Harestad;2000;Canada;Four-year-olds;48 - 60 months;S;NA;0.88 (0.77.0.98);0.88;CI
13;Hayes & Harestad;2000;Canada;Five-year-olds;>=60;S;NA;0.88 (0.80-0.97);0.88;CI
16;Smith et al.;2010;USA;All;NA;S;NA;0.750 (0.728-0.772);0.75;CI
16;Smith et al.;2010;USA;Pups;< 12 months;S;NA;0.398 (0.273-0.579);0.4;CI
16;Smith et al.;2010;USA;Pups;< 12 months;S;NA;0.756 (0.635-0.899);0.76;CI
16;Smith et al.;2010;USA;Pups;< 12 months;S;NA;0.889 (0.777-1.00);0.89;CI
16;Smith et al.;2010;USA;Non-pups;> 12 months;S;NA;0.680 (0.643-0.740);0.68;CI
16;Smith et al.;2010;USA;Non-pups;> 12 months;S;NA;0.771 (0.737-0.806);0.77;CI
16;Smith et al.;2010;USA;Non-pups;> 12 months;S;NA;0.789 (0.750-0.829);0.7;CI
17;Peterson et al.;1984;USA;All;NA;S;ALL;0.67;0.67;NA
17;Peterson et al.;1984;USA;Pups;5 months - unknown;S;NA;0.88;0.88;NA
17;Peterson et al.;1984;USA;Pups;Unknown;S;NA;0.7;0.7;NA
17;Peterson et al.;1984;USA;Adults;> 5 months;S;Territorial;0.73;0.73;NA
17;Peterson et al.;1984;USA;Adults;> 5 months;S;Disperser;0.38;0.38;NA
