study_ID;authors;year;pack_size;country
1;Blanco & Cortés;2007;NA;Spain
2;Mech & Frenzel;1971;4.2;USA
3;Gese & Mech;1991;NA;USA
4;Boyd et al.;1995;NA;USA & Canada
5;Kojola et al.;2009;NA;Finland
6;Jimenez et al.;2017;6.9;USA & Canada
7;Mech et al.;1998;8.9;USA
8;Fritts & Mech;1981;4.3;USA
9;Wabakken et al.;2007;6;Norway & Sweden & Finland
10;Adams et al.;2010;7.7;USA
11;Fuller;1989;7;USA
12;Boyd & Pletscher;1999;NA;USA & Canada
13;Hayes & Harestad;2000;NA;Canada
14;Person & Russell;2010;8;USA
15;Pletscher et al.;1997;NA;USA & Canada
16;Smith et al.;2010;NA;USA
17;Peterson et al.;1984;12.2;USA
18;Ballard et al.;1987;7.6;USA
19;Kojola et al.;2006;NA;Finland
20;Webb et al.;2011;7.76;Canada
21;Kirilyuk et al.;2020;NA;Russia
22;Marucco et al.;2009;NA;Italy & France
23;Gasaway et al.;1983;9.3;USA
24;Van Ballenberghe;1983;NA;USA
25;Fritts et al.;1985;NA;USA
26;Peterson & Page;1988;;USA
27;Ballard et al.;1997;9.7;USA
28;Potvin;1988;5.6;Canada
29;Ciucci et al.;2009;NA;Italy & France
30;Reinhardt et al.;2019;NA;Germany
31;Ražen et al.;2016;NA;Slovenia & Croatia & Austria & Italy
32;Hefner & Geffen;1999;3.2;Israel
33;J?DRZEJEWSKA et al.;1996;4.2;Poland
33;J?DRZEJEWSKA et al.;1996;4;Belarus
34;Harrington et al;1983;NA;USA
35;Van Ballenberghe & Mech;1975;NA;USA
36;Wabakken et al.;2001;6.3;Sweden & Norway
37;Wydeven, Schults & Thiel;1995;3.9;USA
38;Fritts;1983;NA;USA
39;Fuller & Keith;1980;9;Canada
40;Mancinelli & Ciucci;2018;NA;Italy
41;Marucco et al.;2022;NA;Italy
42;Jarausch et al.;2021;NA;Germany
43;Caniglia et al.;2014;5.6;Italy
44;Treves et al.;2017;NA;USA
45;Nowak & Myslajek;2016;3.6;Poland
46;Marescot et al.;2011;NA;France
47;Sidorovich et al.;2007;NA;Belarus
48;Cubaynes et al.;2014;NA;USA
49;Mills, Patterson & Murray;2010;NA;Canada
50;Huber et al.;2002;NA;Croatia
51;Stenglein et al.;2018;NA;USA
52;Mech et al.;2008;NA;USA
53;Bull et al.;2009;NA;Norway
54;Abbas, Rooney & Mian;2013;NA;Pakistan
55;Hamid et al.;2019;NA;Pakistan
56;Kusak, Skrbinsek & Huber;2005;NA;Croatia
57;Nowak, Myslajek & Jedrzejewska;2008;4.8;Poland & Slovakia & Czech Republic
58;Murray et al.;2010;NA;USA
59;Mech;1977;NA;USA
60;Chapron et al;2003;NA;Worldwide
61;Chakrabarti et al.;2022;NA;USA
62;Stahler et al.;2012;5.19;USA
63;Cubaynes et al.;2010;NA;France
64;Mech;1989;NA;USA
65;Jedrzejewski et al.;2007;4.6;Poland
66;Apollonio et al.;2004;4.2;Italy
67;Fernández-Gil;2020;4.2;Spain
68;Hebblewhite & Whittington;2020;NA;Canada
69;Boertje & Stephenson;1992;NA;USA
70;Rausch;1967;NA;USA
71;Schmidt et al.;2008;3.8;Poland
72;Ferreras-Colino et al.;2021;NA;Spain
73;Sidorovich et al.;2017;NA;Belarus
74;Jedrzejewski et al;2005;5;Poland
