study_ID;longitude;latitude;study_area_size;exact_location;year_pub
1;-5;41;NA;N;2007
2;-92;48;6070;Y;1971
3;-92;48;NA;Y;1991
4;NA;NA;NA;N;1995
5;29;64;15000;N;2009
6;-124;57;373000;N;2017
7;-150;64;24000;Y;1998
8;-95;48;2700;Y;1981
9;18;64;NA;Y;2007
10;-153;68;24700;Y;2010
11;-93;47;839;Y;1989
12;-115;50;10000;N;1999
13;-128;62;23000;Y;2000
14;-133;55;9344;Y;2010
15;-115;50;NA;N;1997
16;-112;46;266400;N;2010
16a;-113;48;11770;N;2010
16b;-114;44;53000;N;2010
16c;-110;44;68000;N;2010
17;-150;60;26000;Y;1984
18;-150;60;61600;N;1987
19;29;64;15000;N;2006
20;-115;52;25000;Y;2011
21;117;50;NA;Y;2020
22;7;44;4000;N;2009
23;-147;64;17060;N;1983
24;-146;62;NA;Y;1983
25;-92;48;NA;N;1985
25a;-95;48;NA;N;1985
26;-88;48;544;N;1988
27;-159;67;12280;N;1997
28;-75;46;1667;N;1988
29;11;44;NA;N;2009
30;13;51;NA;N;2019
31;12;46;NA;Y;2016
32;34;30;600;N;1999
33;24;53;1250;Y;1996
34;-95;48;2700;N;1983
34a;-92;48;NA;N;1983
35;-92;48;NA;N;1975
36;18;64;NA;Y;2001
37;-44;89;145000;N;1995
38;-98;51;NA;N;1983
39;-112;58;25000;N;1980
40;14;42;NA;Y;2018
41;7;44;NA;N;2022
42;10;51;NA;Y;2021
43;11;44;19171;Y;2014
44;-90;45;138644;Y;2017
45;16;52;136000;Y;2016
46;NA;NA;NA;NA;2011
47;30;56;NA;Y;2007
48;-110;44;NA;N;2014
49;-78;45;7571;Y;2010
50;NA;NA;NA;NA;2002
51;-44;89;NA;N;2018
52;-92;48;2060;N;2008
53;NA;NA;NA;NA;2009
54;73;35;6187;Y;2013
55;70;32;24;Y;2019
56;16;43;NA;Y;2005
57;19;49;745;Y;2008
58;NA;NA;266400;N;2010
58a;-113;48;11770;N;2010
58b;-114;44;53000;N;2010
58c;-110;44;68000;N;2010
59;-92;48;NA;Y;1977
60;NA;NA;NA;NA;2003
61;NA;NA;NA;N;2022
62;-110;44;8991;N;2012
63;6;45;720000;N;2010
64;-92;48;975;N;1989
65;24;52;595;Y;2007
66;11;44;407;Y;2004
67;5;43;NA;N;2020
68;-115;51;7000;Y;2020
69;NA;NA;NA;NA;1992
70;NA;NA;NA;NA;1967
71;24;53;600;Y;2008
72;5;43;NA;N;2021
73;26;54;2750;Y;2017
74;19;51;152000;Y;2005
