study_ID;authors;year;country;age_class;age_class_calc;age;m_or_s;social_class;rate;calc_surv_rate;se_or_ci
1;Blanco & Cortés;2007;Spain;NA;All;NA;M;Overall;0.18 (0.0059-0.285) 95%CI;0.82;CI
1;Blanco & Cortés;2007;Spain;NA;All;NA;M;Disperser;0.31 (0.000-0.591);0.69;CI
1;Blanco & Cortés;2007;Spain;NA;All;NA;M;Pack;0.14 (0.003-0.250);0.86;CI
1;Blanco & Cortés;2007;Spain;NA;All;NA;M;PAIR;0 (0.000-0.000);1;CI
1;Blanco & Cortés;2007;Spain;NA;All;NA;M;Peripheral;0.50 (0.000-0.805);0.5;CI
7;Mech et al.;1998;USA;All;All;> 9 months;M;NA;0.27;0.73;NA
10;Adams et al.;2010;USA;Yearlings & Adults;Yearlings & Adults;> 12 months;S;NA;0.791 (95% CI=0.741-0.877);0.791;CI
11;Fuller;1989;USA;Pups;Pups;< 12 months;S;NA;0.37;0.37;
11;Fuller;1989;USA;Yearlings;Yearlings;12 months;S;Resident;0.67;0.67;
11;Fuller;1989;USA;Adults;Adults;24 months;S;Resident;0.67;0.67;
11;Fuller;1989;USA;Adults;All;> 5 months;S;Non-resident;0.52;0.52;
11;Fuller;1989;USA;NA;Yearlings & Adults;NA;S;All radiocollared wolves;0.64;0.64;(0.57-0.71) range
11;Fuller;1989;USA;Pups;Pups;5 - 12 months;S;Resident;0.77;0.77;NA
11;Fuller;1989;USA;Yearlings;Yearlings;12 months;S;Resident;0.77;0.77;NA
11;Fuller;1989;USA;Adults;Adults;24 months;S;Resident;0.77;0.77;NA
12;Boyd & Pletscher;1999;USA & Canada;All;All;NA;S;Disperser;0.76 +- 0.10;0.76;NA
12;Boyd & Pletscher;1999;USA & Canada;All;All;NA;S;Territorial;0.77+-0.14;0.77;NA
13;Hayes & Harestad;2000;Canada;Pups;Pups;< 12 months;S;NA;0.63 (0.34-0.89);0.63;CI
13;Hayes & Harestad;2000;Canada;Yearlings;Yearlings;12 -24 months;S;NA;0.81 (0.69-0.92);0.81;CI
13;Hayes & Harestad;2000;Canada;Two-year-olds;Adults;24-36 months;S;NA;0.82 (0.72-0.92);0.82;CI
13;Hayes & Harestad;2000;Canada;Three-year-olds;Adults;36-48 months;S;NA;0.97 (0.92-1.00);0.97;CI
